filepath , mos
taco2waveglow-GS-0001,4.5
taco2waveglow-GS-0003,5.0
taco2waveglow-GS-0004,4.0
taco2waveglow-GS-0006,4.5
taco2waveglow-GS-0007,4.0
taco2waveglow-GS-0008,4.0
taco2waveglow-GS-0010,4.0
taco2waveglow-GS-0011,4.0
taco2waveglow-GS-0013,5.0
taco2waveglow-GS-0014,5.0
taco2waveglow-GS-0015,5.0
taco2waveglow-GS-0016,4.5
taco2waveglow-GS-0017,4.0
taco2waveglow-GS-0019,5.0
taco2waveglow-GS-0021,4.666666666666667
taco2waveglow-GS-0024,5.0
taco2waveglow-GS-0026,4.5
taco2waveglow-GS-0028,3.5
taco2waveglow-GS-0029,4.0
taco2waveglow-LI-0001,3.6666666666666665
taco2waveglow-LI-0002,4.0
taco2waveglow-LI-0003,4.25
taco2waveglow-LI-0004,5.0
taco2waveglow-LI-0006,3.0
taco2waveglow-LI-0007,3.8
taco2waveglow-LI-0008,4.0
taco2waveglow-LI-0009,5.0
taco2waveglow-LI-0011,4.5
taco2waveglow-LI-0012,5.0
taco2waveglow-LI-0013,5.0
taco2waveglow-LI-0014,5.0
taco2waveglow-LI-0015,4.5
taco2waveglow-LI-0019,5.0
taco2waveglow-LI-0020,3.5
taco2waveglow-LI-0021,3.75
taco2waveglow-LI-0023,3.0
taco2waveglow-LI-0024,4.5
taco2waveglow-LI-0026,4.0
taco2waveglow-LI-0027,4.75
taco2waveglow-LI-0029,4.0
taco2waveglow-LU-0000,2.3333333333333335
taco2waveglow-LU-0001,3.0
taco2waveglow-LU-0003,3.0
taco2waveglow-LU-0004,3.5
taco2waveglow-LU-0006,4.0
taco2waveglow-LU-0007,2.5
taco2waveglow-LU-0008,4.0
taco2waveglow-LU-0009,3.3333333333333335
taco2waveglow-LU-0012,2.5
taco2waveglow-LU-0014,2.0
taco2waveglow-LU-0015,3.0
taco2waveglow-LU-0017,5.0
taco2waveglow-LU-0021,4.0
taco2waveglow-LU-0022,3.5
taco2waveglow-LU-0024,3.0
taco2waveglow-LU-0026,2.0
taco2waveglow-LU-0027,4.0
taco2waveglow-LU-0028,4.0
taco2waveglow-LU-0029,3.25
taco2waveglow-PE-0000,4.5
taco2waveglow-PE-0001,3.0
taco2waveglow-PE-0002,5.0
taco2waveglow-PE-0004,5.0
taco2waveglow-PE-0005,1.0
taco2waveglow-PE-0006,5.0
taco2waveglow-PE-0007,4.0
taco2waveglow-PE-0009,4.5
taco2waveglow-PE-0011,5.0
taco2waveglow-PE-0013,5.0
taco2waveglow-PE-0014,5.0
taco2waveglow-PE-0016,4.0
taco2waveglow-PE-0018,5.0
taco2waveglow-PE-0019,4.0
taco2waveglow-PE-0020,3.0
taco2waveglow-PE-0021,4.0
taco2waveglow-PE-0022,4.0
taco2waveglow-PE-0023,4.5
taco2waveglow-PE-0024,4.666666666666667
taco2waveglow-PE-0025,4.333333333333333
taco2waveglow-PE-0026,3.0
taco2waveglow-PE-0028,4.5
taco2waveglow-PE-0029,4.0
taco2waveglow-BZ-0002,4.0
taco2waveglow-BZ-0006,3.0
taco2waveglow-BZ-0009,3.0
taco2waveglow-BZ-0014,4.0
taco2waveglow-DR-0002,5.0
taco2waveglow-DR-0004,3.3333333333333335
taco2waveglow-DR-0006,3.0
taco2waveglow-DR-0017,3.0
taco2waveglow-DR-0018,5.0
taco2waveglow-DR-0020,3.0
taco2waveglow-DR-0021,4.5
taco2waveglow-DR-0026,4.333333333333333
taco2waveglow-DR-0028,3.5
taco2waveglow-GM-0001,4.5
taco2waveglow-GM-0004,5.0
taco2waveglow-GM-0006,5.0
taco2waveglow-GM-0007,5.0
taco2waveglow-GM-0012,5.0
taco2waveglow-GM-0015,4.5
taco2waveglow-GM-0021,4.5
taco2waveglow-GS-0000,4.0
taco2waveglow-GS-0002,5.0
taco2waveglow-GS-0005,5.0
taco2waveglow-GS-0018,5.0
taco2waveglow-GS-0022,4.0
taco2waveglow-GS-0023,5.0
taco2waveglow-GS-0025,4.333333333333333
taco2waveglow-GS-0027,4.666666666666667
taco2waveglow-LI-0000,5.0
taco2waveglow-LI-0022,4.0
taco2waveglow-LI-0025,3.0
taco2waveglow-LU-0002,4.0
taco2waveglow-LU-0005,4.0
taco2waveglow-LU-0010,3.5
taco2waveglow-LU-0011,3.0
taco2waveglow-LU-0018,4.0
taco2waveglow-LU-0020,3.3333333333333335
taco2waveglow-PE-0008,5.0
taco2waveglow-PE-0010,4.0
taco2waveglow-PE-0012,4.0
taco2waveglow-PE-0015,3.0
taco2waveglow-PE-0017,5.0
msc_d_tunner_taco2waveglow_1_0,3.5
msc_d_tunner_taco2waveglow_1_1,3.75
msc_d_tunner_taco2waveglow_1_10,4.15
msc_d_tunner_taco2waveglow_1_11,3.4
msc_d_tunner_taco2waveglow_1_12,3.8
msc_d_tunner_taco2waveglow_1_13,3.4
msc_d_tunner_taco2waveglow_1_14,3.7
msc_d_tunner_taco2waveglow_1_15,3.85
msc_d_tunner_taco2waveglow_1_16,3.2
msc_d_tunner_taco2waveglow_1_17,3.4
msc_d_tunner_taco2waveglow_1_18,3.8
msc_d_tunner_taco2waveglow_1_19,3.5
msc_d_tunner_taco2waveglow_1_2,3.55
msc_d_tunner_taco2waveglow_1_3,3.75
msc_d_tunner_taco2waveglow_1_4,3.95
msc_d_tunner_taco2waveglow_1_5,3.75
msc_d_tunner_taco2waveglow_1_6,3.5
msc_d_tunner_taco2waveglow_1_7,4.05
msc_d_tunner_taco2waveglow_1_8,3.75
msc_d_tunner_taco2waveglow_1_9,4.05
